class,normalization,logarithm,differences,algorithm,hyper_parameters,precision,recall,f1_score,method,variance_threshold,accuracy
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.99123,1.0,0.99559,features,,0.99123
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.0,0.0,0.0,features,,0.99123
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",0.99123,1.0,0.99559,features,,0.99123
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",0.0,0.0,0.0,features,,0.99123
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.99472,1.0,0.99735,features,,0.99474
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",1.0,0.4,0.57143,features,,0.99474
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",0.99472,1.0,0.99735,features,,0.99474
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.01, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",1.0,0.4,0.57143,features,,0.99474
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",0.99823,1.0,0.99912,features,,0.99825
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",1.0,0.8,0.88889,features,,0.99825
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 1, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 10, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'lbfgs'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 100, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'sag'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.0001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'saga'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.0001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'saga'}",1.0,1.0,1.0,features,,1.0
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.0001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'saga'}",0.99123,1.0,0.99559,features,,0.99123
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.0001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l1', 'solver': 'saga'}",0.0,0.0,0.0,features,,0.99123
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.0001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'saga'}",0.99123,1.0,0.99559,features,,0.99123
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.0001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': 'l2', 'solver': 'saga'}",0.0,0.0,0.0,features,,0.99123
NO_EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'saga'}",1.0,1.0,1.0,features,,1.0
EXOPLANETS,0,0,1,Logistic Regression,"{'C': 0.001, 'max_iter': 100000, 'n_jobs': -1, 'penalty': None, 'solver': 'saga'}",1.0,1.0,1.0,features,,1.0
